Campanha;Tipo;Valor Antigo;Valor Novo;Motivo
SP | Keywords | Brand | Episol | Geral;Bid;1.38;1.59;ROAS 7.91 acima do target em 97.8% → +15%
SP | Keywords | Brand | Episol | Geral;Bid;1.57;1.65;Baixo volume de clicks (6 cliques < threshold 150)
SP | Keywords | Brand | Episol | Geral;Bid;1.29;1.35;Baixo volume de clicks (7 cliques < threshold 150)
SP | Keywords | Brand | Episol | Geral;Bid;1.85;2.04;ROAS 5.54 acima do target em 38.5% → +10%
SP | Keywords | Brand | Episol Color;Bid;0.97;1.02;Baixo volume de clicks (32 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.38;1.45;Baixo volume de clicks (20 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.99;2.39;ROAS 9.12 acima do target em 128.0% → +20%
SP | Keywords | Brand | Episol Color;Bid;1.58;1.66;Baixo volume de clicks (22 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;2.5;2.62;Baixo volume de clicks (50 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.88;0.92;Baixo volume de clicks (17 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.79;1.88;Baixo volume de clicks (26 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.51;1.59;Baixo volume de clicks (13 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.73;0.77;Baixo volume de clicks (15 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.65;0.68;Baixo volume de clicks (29 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.77;0.81;Baixo volume de clicks (27 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.14;1.37;ROAS 16.76 acima do target em 319.0% → +20%
SP | Keywords | Brand | Episol Color;Bid;1.17;1.23;Baixo volume de clicks (8 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.5;0.53;Baixo volume de clicks (5 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.81;0.69;ROAS 3.39 abaixo do target em 15.2% → -15%
SP | Keywords | Brand | Episol Color;Bid;1.55;1.86;ROAS 22.51 acima do target em 462.8% → +20%
SP | Keywords | Brand | Episol Color;Bid;1.76;1.85;Baixo volume de clicks (22 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;1.34;1.41;Baixo volume de clicks (1 cliques < threshold 150)
SP | Keywords | Brand | Episol Color;Bid;0.59;0.62;Baixo volume de clicks (1 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;2.6;2.73;Baixo volume de clicks (68 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;2.35;2.82;ROAS 28.42 acima do target em 610.5% → +20%
SP | Keywords | Ivy C | Brand;Bid;1.56;1.64;Baixo volume de clicks (10 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;1.83;1.92;Baixo volume de clicks (96 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;2.68;2.81;Baixo volume de clicks (37 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;3.83;4.02;Baixo volume de clicks (50 cliques < threshold 150)
SP | Keywords | Ivy C | Brand;Bid;3.11;3.27;Baixo volume de clicks (38 cliques < threshold 150)
SP | Keywords | Brand | Epidrat;Bid;3.98;4.78;ROAS 9.35 acima do target em 133.8% → +20%
SP | Keywords | Brand | Protetor solar em Pó;Bid;1.1;1.32;ROAS 18.18 acima do target em 354.5% → +20%
SP | Keywords | Brand | Protetor solar em Pó;Bid;1.94;2.04;Baixo volume de clicks (11 cliques < threshold 150)
SP | Keywords | Brand | Protetor solar em Pó;Bid;1.53;1.84;ROAS 10.75 acima do target em 168.8% → +20%
SP | Keywords | Brand | Protetor solar em Pó;Bid;1.14;1.37;ROAS 10.95 acima do target em 173.7% → +20%
SP | Keywords | Brand | Protetor solar em Pó;Bid;1.2;1.26;Baixo volume de clicks (93 cliques < threshold 150)
SP | Keywords | Reviline | Brand;Bid;6.24;5.0;Baixo volume de clicks (5 cliques < threshold 150)
SP | Keywords | Reviline | Brand;Bid;8.97;5.0;Baixo volume de clicks (144 cliques < threshold 150)
SP | Keywords | Brand | Episol | Geral;Budget;27.0;31.05;Sales Share=12.4% | ROAS=7.36 | ROAS 7.36 acima do target em 84.0% → +15%
SP | Keywords | Brand | Episol Color;Budget;24.0;28.8;Sales Share=18.2% | ROAS=10.82 | ROAS 10.82 acima do target em 170.5% → +20%
SP | Keywords | Ivy C | Brand;Budget;52.0;62.4;Sales Share=31.2% | ROAS=21.63 | ROAS 21.63 acima do target em 440.8% → +20%
SP | Keywords | Brand | Epidrat;Budget;35.0;42.0;Sales Share=16.3% | ROAS=9.38 | ROAS 9.38 acima do target em 134.5% → +20%
SP | Keywords | Brand | Protetor solar em Pó;Budget;92.0;96.94;Sales Share=12.9% | ROAS=13.62 | ROAS 13.62 acima do target em 240.5% → +20%
SP | Keywords | Reviline | Brand;Budget;94.0;67.02;Sales Share=8.9% | ROAS=7.92 | ROAS 7.92 acima do target em 98.0% → +15%
SP | Keywords | Brand | Episol | Geral | Placement Product Page;Placement;900.0;810.0;ROAS 3.65 abaixo do target em 8.8% → -10%
SP | Keywords | Brand | Episol | Geral | Placement Rest Of Search;Placement;900.0;810.0;ROAS 3.79 abaixo do target em 5.2% → -10%
SP | Keywords | Brand | Episol Color | Placement Product Page;Placement;600.0;690.0;ROAS 6.27 acima do target em 56.7% → +15%
SP | Keywords | Brand | Episol Color | Placement Rest Of Search;Placement;600.0;660.0;ROAS 5.04 acima do target em 26.0% → +10%
SP | Keywords | Brand | Episol Color | Placement Top;Placement;600.0;720.0;ROAS 13.78 acima do target em 244.5% → +20%
SP | Keywords | Ivy C | Brand | Placement Product Page;Placement;900.0;765.0;ROAS 3.19 abaixo do target em 20.2% → -15%
SP | Keywords | Brand | Epidrat | Placement Product Page;Placement;900.0;765.0;ROAS 3.16 abaixo do target em 21.0% → -15%
SP | Keywords | Brand | Protetor solar em Pó | Placement Product Page;Placement;500.0;600.0;ROAS 8.59 acima do target em 114.8% → +20%
SP | Keywords | Brand | Protetor solar em Pó | Placement Rest Of Search;Placement;500.0;600.0;ROAS 21.32 acima do target em 433.0% → +20%
SP | Keywords | Reviline | Brand | Placement Rest Of Search;Placement;900.0;0.0;ROAS = 0 → placement zerado
SP | Keywords | Reviline | Brand | Placement Product Page;Placement;900.0;720.0;ROAS 1.10 muito abaixo do target em 72.5% → -20%
